Lesion,Volume (mm³),Surface (mm²),Compactness
1,70.875,107.37602806091309,0.45889836711535376
2,8343.0,4823.294677734375,0.07015610560550321
3,9639.0,8472.92431640625,0.01727493224244466
4,13.5,39.07574272155762,0.34546033190508363
5,74.25,39.899301052093506,9.816336238208244
6,87.75,92.61111545562744,1.0963703408656469
7,20.25,66.76540946960449,0.15582885443401728
8,97.875,134.21830558776855,0.44808527056320197
9,128.25,106.66087818145752,1.533033537355054
10,23.625,43.79641771316528,0.7514156570146392
11,219.375,311.82872772216797,0.17950571202867002
12,259.875,212.8234748840332,0.7923604473551543
13,54.0,123.58735942840576,0.1747099878644728
14,37.125,93.95296669006348,0.18795496560184155
15,810.0,796.6126098632812,0.14678473091631702
16,77.625,73.64765739440918,1.7059990622995813
17,23.625,21.434126615524292,6.410304095232118
18,54.0,72.71950149536133,0.8576048213853177
19,276.75,855.3321304321289,0.013842778600998215
20,10.125,23.38268494606018,0.9068997933666924
21,37.125,91.37769412994385,0.20429828181097326
22,10.125,15.588456988334656,3.0607865919523585
23,10.125,23.38268494606018,0.9068997933666924
24,57.375,118.65367412567139,0.22287132669627802
25,70.875,122.6553840637207,0.3078780074470372
26,50.625,68.10726070404053,0.9174918315268445
27,256.5,315.19898986816406,0.23761434797667386
28,8012.25,5495.517883300781,0.04374571111100184
29,43.875,72.61108016967773,0.5686930754025448
30,472.5,609.7006988525391,0.1114053174997652
31,70.875,155.96620559692383,0.14974316128475726
32,266.625,325.4362564086914,0.2332686113559908
33,13.5,15.588456988334656,5.441398385693082
34,513.0,776.0262222290039,0.06368804448031029
35,23.625,21.434126615524292,6.410304095232118
36,1501.875,1632.8663635253906,0.05859600687849668
37,253.125,112.12050819396973,5.141232945660096
38,37.125,21.434126615524292,15.82952643924666
39,20.25,70.14805698394775,0.13435551261376294
40,70.875,78.36450004577637,1.1805392086527224
41,992.25,1288.1622161865234,0.05209342585954615
42,10.125,23.38268494606018,0.9068997933666924
43,1674.0,1684.7119445800781,0.06628058238009092
44,43.875,104.29862880706787,0.19188933410266135
45,16.875,52.71564245223999,0.2198474463442728
46,131.625,154.2183322906494,0.5342212199034417
47,43.875,41.43416404724121,3.060630408829899
48,43.875,44.101683139801025,2.53817252414389
49,212.625,280.32948303222656,0.23209976371798358
